index_P,april.n.01,nothing.n.01,pound.n.10,wrinkle.n.01,austral.n.01,acre.n.03,wheat.n.02,billion.n.03,whitethorn.n.01,usage.n.03,hour_angle.n.02,mexico.n.01,volt.n.01,franc.n.01,security.n.04,termination.n.05,montana.n.01,elevation.n.03,dole.n.01,taiwan.n.02,redemption.n.02,portland.n.02,sugar.n.01,percentage.n.01,store.n.02,hectare.n.01,worm.n.02,rescue.n.01,yugoslav.n.01,alberta.n.01,february.n.01,fob.n.03,cooperative.n.01,sellers.n.01,treatment.n.01,duty.n.03,cargo.n.01,colombia.n.01,malted.n.01,basket.n.04,july.n.01,loanword.n.01,mission.n.04,jordan.n.02,bonus.n.02,army.n.02,government_accounting_office.n.01,argentina.n.01,pale_yellow.n.01,semolina.n.01,connecticut.n.01,food_and_agriculture_organization.n.01,home_plate.n.01,estate.n.02,maximum.n.03,june.n.01,cambodia.n.01,workweek.n.01,intravenous_feeding.n.01,ski_tow.n.01,commitment.n.05,license.n.01,protein.n.01,roberts.n.04,rebate.n.01,renewal.n.02,seaway.n.01,burlington.n.01,hydrofluorocarbon.n.01,substitute.n.02,elevator.n.01,registration.n.02,goal.n.01,bushel.n.02,tanzania.n.01,planting.n.03,season.n.03,millimeter.n.01,soviet_union.n.01,metric_ton.n.01,brazil_nut.n.02,pitch.n.02,offerer.n.01,source.n.07,arabian_peninsula.n.01,saudi.n.01,agreement.n.06,lining.n.03,cooperation.n.02,blemish.n.01,january.n.01,water.n.01,peer.n.01,exporter.n.01,algeria.n.01,paddy.n.01,month.n.02,hassium.n.01,barley.n.02,stage_set.n.01
235,0.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0.1021,0,0.001,0,0.0001,0,0,0.0011,0,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0.0001,0,0,0,0.0001,0,0,0,0,0,0,0.0021,0.0017,0.0001,0,0,0,0.0003,0,0.0001,0,0,0,0.0052,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0.0017,0,0.0001,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0.0035,0,0,0,0,0,0
388,0,0,0.1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0.2876,0,0.0249,0,0,0.0087,0,0,0.0185,0,0,0,0,0.0229,0,0,0.0089,0,0.0209,0,0,0,0,0.0046,0,0.0029,0.0264,0,0.0033,0,0.0055,0,0,0.0071,0.01,0,0,0,0,0,0.0086,0,0,0,0.006,0.0464,0,0.0251,0,0.0052,0,0.055,0,0.0103,0,0,0.0041,0,0,0,0.0046,0,0,0.0046,0.0236,0,0.0057,0.0044,0,0,0,0.0057,0,0,0,0.0205,0,0.0093,0,0.0038,0,0.0058,0.005,0,0,0,0.0467,0,0,0.0096,0.0053,0.008,0.003,0,0,0.003,0.007
53,0,0.0945,0,0.0003,0,0,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0.0534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134,0.0001,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362,0,0,0,0,0,0,0.0186,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0
268,0.0391,0.0895,0,0.0039,0,0.0005,0,0,0,0,0,0.0004,0,0,0,0,0.0005,0,0,0,0,0.0004,0,0,0,0,0,0,0,0.0006,0,0,0,0,0,0,0.0169,0.0002,0,0,0,0,0,0.0002,0,0,0,0.0001,0.0085,0,0.0005,0,0,0,0.0013,0,0.0002,0.0331,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0.0001,0,0,0,0.0004,0.0115,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0.0002,0,0,0,0,0
131,0,0,0,0.0024,0.0857,0.0002,0,0,0.0001,0,0,0,0,0,0,0,0.0002,0,0,0.0001,0,0.0002,0,0,0,0,0.0001,0,0,0.0002,0,0,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0.0276,0.005,0,0.0002,0,0.0001,0,0.0007,0,0,0,0,0.0001,0,0,0,0.0001,0,0,0.0001,0.0002,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0.012,0.0001,0,0,0,0.0001,0.0001,0,0,0,0.0001,0,0,0.0001,0.0001,0,0,0,0,0,0.0001
436,0,0,0,0.0246,0,0.1092,0.0002,0,0,0,0,0,0,0,0.0112,0,0.0035,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192,0,0,0,0.0067,0.0001,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0087,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0.1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0.0079,0,0.0002,0.0119,0,0.1556,0,0,0.0001,0,0,0.0175,0,0.0002,0,0,0,0,0.0001,0,0.0057,0,0,0,0,0,0.0002,0,0,0,0,0,0,0.0111,0.0001,0,0,0,0.0003,0,0.0001,0,0,0,0,0.0021,0,0.0002,0,0,0,0.0004,0,0.0001,0.0088,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0.0028,0,0,0,0,0.0001,0,0,0,0,0
374,0,0,0,0,0,0,0.0019,0,0,0.0644,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,0.0536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0.0077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265,0,0,0.0701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0,0.9685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0.0167,0,0,0,0,0,0,0,0.1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446,0,0,0,0,0,0,0,0,0,0.0059,0,0,0,0.0455,0,0,0,0,0,0
35,0,0,0,0.0007,0,0.0001,0.0009,0,0.007,0.0028,0,0.0001,0.0965,0,0,0,0.0001,0,0,0,0,0.0001,0.0011,0,0.0548,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0.0066,0,0,0,0,0,0,0,0.0013,0.0005,0.0001,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0.014,0,0.0001,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0.0866,0,0,0
519,0,0,0,0.019,0,0.0937,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0.0001,0,0,0,0.0226,0.0001,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0053,0,0,0,0.0001,0,0.001,0,0,0,0,0.0001,0,0,0,0.0001,0,0,0.0001,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0.0002,0,0.0001,0,0.0001,0.0001,0,0,0,0.0067,0,0,0.0002,0.0001,0,0.0001,0,0,0.0001,0.0001
160,0,0,0,0.0022,0,0.0001,0,0,0,0,0,0,0,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0,0.0001,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512,0,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0.0009,0,0,0,0,0,0,0,0.1857,0,0,0,0,0,0,0,0.0011,0.0089,0.0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063,0.0047,0,0,0.0051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0.0803,0,0,0,0,0,0,0,0,0.1659,0,0,0,0,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0.0212,0,0,0,0,0.0001,0,0,0,0,0,0,0,0.0832,0,0,0.0002,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0.0002,0,0,0.0076,0,0,0,0,0,0,0,0,0,0,0,0.0155,0,0,0,0,0,0.0024,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0.0002,0,0.0001,0,0.0002,0.0001,0,0,0,0.006,0,0,0.0003,0.0001,0,0,0,0.0289,0,0
521,0.0124,0,0,0.0013,0,0,0.0028,0,0.0294,0,0,0,0,0,0,0,0,0.0749,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0016,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0
395,0,0,0,0.001,0,0.0002,0.0024,0,0.0001,0,0,0.0001,0,0,0,0,0.0002,0,0.0824,0.0001,0,0.0001,0.0028,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0.0142,0,0.0001,0,0,0,0,0.0028,0.0014,0.0002,0,0,0,0.0004,0,0.0001,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0,0,0
512,0,0,0,0.009,0,0.0003,0,0,0,0,0,0.0001,0,0,0,0,0.0002,0,0,0.0889,0,0.0001,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0.0025,0,0.0003,0,0,0,0.0004,0,0.0001,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0.0001,0.047,0,0,0,0,0,0,0,0,0,0.0032,0,0,0,0.047,0,0,0,0,0,0
372,0.0217,0,0,0.0021,0,0.0004,0.0008,0,0.0001,0,0,0.0003,0,0,0.0625,0,0.0004,0,0,0.0001,0.1027,0.0003,0.0009,0,0,0,0.0001,0,0,0.0004,0,0.0001,0,0.0001,0,0,0.0001,0.0002,0,0,0,0,0,0.0001,0,0,0,0.0001,0.006,0.0004,0.0004,0,0.0001,0,0.0009,0,0.0002,0,0,0.0001,0,0,0,0.0001,0,0,0.0001,0.0004,0,0.0001,0.0001,0,0,0.0421,0.0001,0,0,0,0.0003,0,0.0001,0,0.0001,0,0.0001,0.0001,0,0,0,0,0,0,0.0002,0.0001,0.0001,0,0,0,0,0.0001
233,0,0,0,0.015,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.0777,0,0,0,0,0.0001,0,0,0,0,0,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0.0001,0,0.0008,0,0,0,0,0.0001,0,0,0,0.0001,0,0,0.0001,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0.0001,0,0.0001,0,0.0001,0.0001,0,0,0,0.0053,0,0,0.0001,0.0001,0,0,0,0,0,0.0001
265,0,0,0,0.015,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0.0001,0,0.0777,0,0,0,0,0.0001,0,0,0,0,0,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0.0001,0,0.0008,0,0,0,0,0.0001,0,0,0,0.0001,0,0,0.0001,0,0,0.0001,0.0001,0,0,0,0,0,0,0,0,0,0.0001,0,0.0001,0,0.0001,0.0001,0,0,0,0.0053,0,0,0.0001,0.0001,0,0,0,0,0,0.0001
566,0,0,0,0.0003,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0.003,0.0013,0,0.0009,0,0.1278,0.0039,0.0031,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0.0092,0,0,0.0017,0,0,0,0.0001,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053,0,0,0.0001,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0.0017,0,0.0003,0.0033,0,0.0001,0,0,0.0002,0.0539,0,0,0,0.0003,0,0,0.0001,0,0.0003,0.0039,0.0925,0,0,0.0001,0,0,0.0003,0,0,0,0.0001,0,0,0.0001,0.0001,0,0,0,0,0,0.0001,0,0,0,0.0001,0.0049,0.0019,0.0003,0,0.0001,0,0.0007,0,0.0001,0,0,0.0001,0,0,0,0.0001,0,0,0.0001,0.0003,0,0.0001,0.0001,0,0,0,0.0001,0,0,0,0.0003,0,0.0001,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0001,0.0001,0.0001,0,0,0,0,0.0001
